review,guest_satisfaction_overall,accuracy_rating,cleanliness_rating,location_rating,value_rating,new_price,log_price
104,96,10,10,10,10,86.16666412353516,-0.3865469992160797
104,96,10,10,10,10,86.16666412353516,-0.3865469992160797
104,96,10,10,10,10,89.16666412353516,-0.33384814858436584
104,96,10,10,10,10,88.16666412353516,-0.3512147068977356
141,96,10,10,10,10,80.66666412353516,-0.4881119132041931
1,97,8,10,10,10,150,0.4670670926570892
2,97,8,10,10,10,150,0.4670670926570892
2,97,8,10,10,10,150,0.4670670926570892
2,97,8,10,10,10,150,0.4670670926570892
2,97,8,10,10,10,150,0.4670670926570892
2,97,8,10,10,10,120,0.1234612762928009
2,97,8,10,10,10,120,0.1234612762928009
2,97,8,10,10,10,120,0.1234612762928009
2,97,8,10,10,10,120,0.1234612762928009
2,97,8,10,10,10,120,0.1234612762928009
2,97,8,10,10,10,120,0.1234612762928009
2,97,8,10,10,10,120,0.1234612762928009
2,97,8,10,10,10,120,0.1234612762928009
2,97,8,10,10,10,120,0.1234612762928009
2,97,8,10,10,10,120,0.1234612762928009
2,97,8,10,10,10,120,0.1234612762928009
2,100,8,10,10,10,120,0.1234612762928009
101,95,9,9,10,9,94.5,-0.24439473450183868
104,95,9,9,10,9,96.66666412353516,-0.2094883024692535
109,95,9,9,10,9,95.5,-0.22818534076213837
111,94,9,9,10,9,94.5,-0.24439473450183868
115,94,9,9,10,9,94.33333587646484,-0.2471129447221756
115,94,9,9,10,9,94.5,-0.24439473450183868
128,94,9,9,10,9,101.16666412353516,-0.13942433893680573
131,94,9,9,10,9,100,-0.15728506445884705
136,94,9,9,10,9,98,-0.18839393556118011
137,94,9,9,10,9,96.83333587646484,-0.20683544874191284
137,94,9,9,10,9,95.66666412353516,-0.2255009114742279
141,94,9,9,10,9,89.16666412353516,-0.33384814858436584
142,94,9,9,10,9,90.16666412353516,-0.31667467951774597
143,94,9,9,10,9,90.16666412353516,-0.31667467951774597
147,94,9,9,10,9,90.16666412353516,-0.31667467951774597
151,94,9,10,10,9,93.5,-0.26077592372894287
156,94,9,10,10,9,104.33333587646484,-0.09196364879608154
295,94,9,10,10,9,106.83333587646484,-0.05550207197666168
4,96,9,9,10,10,111.83333587646484,0.01492975559085607
4,96,9,9,10,10,115.66666412353516,0.06682681292295456
6,96,9,9,10,10,114.5,0.05121657624840736
7,96,10,9,10,10,113.5,0.03770924359560013
7,96,10,9,10,10,113.33333587646484,0.03544627502560615
7,96,10,9,10,10,111.33333587646484,0.00802997220307588
8,96,10,9,10,10,110.16666412353516,-0.0081911627203226
8,96,10,9,10,10,109,-0.02458484657108783
8,96,10,9,10,10,110.16666412353516,-0.0081911627203226
8,96,10,9,10,10,107,-0.053101796656847
46,97,10,10,9,10,119,0.1105751246213913
48,97,10,10,9,10,121,0.13624022901058197
48,97,10,10,9,10,119,0.1105751246213913
48,97,10,10,9,10,118,0.09758103638887404
48,97,10,10,9,10,118,0.09758103638887404
48,97,10,10,9,10,118,0.09758103638887404
48,97,10,10,9,10,116,0.07125803828239441
48,97,10,10,9,10,115,0.05792618915438652
48,97,10,10,9,10,113,0.03091078996658325
48,97,10,10,9,10,111,0.0034129845444113
48,97,10,10,9,10,123,0.16148386895656586
48,97,10,10,9,10,122,0.1489134430885315
48,97,10,10,9,10,113,0.03091078996658325
48,97,10,10,9,10,115,0.05792618915438652
48,97,10,10,9,10,115,0.05792618915438652
48,97,10,10,9,10,115,0.05792618915438652
48,97,10,10,9,10,119,0.1105751246213913
49,97,10,10,9,10,117,0.08447606861591339
49,97,10,10,9,10,117,0.08447606861591339
71,98,10,10,9,10,104.66666412353516,-0.08705222606658936
6,94,10,9,9,10,102.83333587646484,-0.11426293104887009
8,95,10,9,9,10,105,-0.0821562185883522
11,95,10,9,9,10,103,-0.1117694079875946
14,94,10,9,9,10,101.83333587646484,-0.1293099969625473
18,94,9,9,9,10,101.83333587646484,-0.1293099969625473
20,94,9,9,9,9,102.83333587646484,-0.11426293104887009
21,94,9,9,9,9,100.66666412353516,-0.14705397188663483
22,94,9,9,9,9,99.66666412353516,-0.16242630779743197
26,95,9,9,9,10,124.33333587646484,0.1780860871076584
28,94,9,9,9,9,103.5,-0.10431232303380966
